region,YEAR.x,STATE_CODE.x,DD,T_YEAR,YEAR.y,STATE_CODE.y,race,MEM_,OSS_,pct_
montana,2022,MT,1,1991,1974,MT,BL,160,5,3.125
montana,2022,MT,1,1991,1974,MT,HI,360,40,11.1111106872559
montana,2022,MT,1,1991,1974,MT,HP,0,0,
montana,2022,MT,1,1991,1974,MT,MR,0,0,
montana,2022,MT,1,1991,1974,MT,WH,28685,575,2.00453209877014
montana,2022,MT,1,1991,1974,MT,total,31455,655,2.08233976364136
montana,2022,MT,1,1991,1976,MT,AI,13350,135,1.01123595237732
montana,2022,MT,1,1991,1976,MT,AS,650,5,0.769230782985687
montana,2022,MT,1,1991,1976,MT,BL,475,5,1.05263161659241
montana,2022,MT,1,1991,1976,MT,HI,1660,15,0.903614461421967
montana,2022,MT,1,1991,1976,MT,HP,0,0,
montana,2022,MT,1,1991,1976,MT,MR,0,0,
montana,2022,MT,1,1991,1976,MT,WH,162255,1425,0.878247201442719
montana,2022,MT,1,1991,1976,MT,total,178390,1590,0.891305565834045
montana,2022,MT,1,1991,1978,MT,AI,8165,190,2.32700562477112
montana,2022,MT,1,1991,1978,MT,AS,590,30,5.08474588394165
montana,2022,MT,1,1991,1978,MT,BL,325,10,3.07692313194275
montana,2022,MT,1,1991,1978,MT,HI,1110,30,2.70270276069641
montana,2022,MT,1,1991,1978,MT,HP,0,0,
montana,2022,MT,1,1991,1978,MT,MR,0,0,
montana,2022,MT,1,1991,1978,MT,WH,82505,1680,2.03624033927917
montana,2022,MT,1,1991,1978,MT,total,92695,1940,2.0928852558136
montana,2022,MT,1,1991,1980,MT,AI,7770,320,4.11840391159058
montana,2022,MT,1,1991,1980,MT,AS,710,10,1.4084507226944
montana,2022,MT,1,1991,1980,MT,BL,345,10,2.89855074882507
montana,2022,MT,1,1991,1980,MT,HI,1125,55,4.88888883590698
montana,2022,MT,1,1991,1980,MT,HP,0,0,
montana,2022,MT,1,1991,1980,MT,MR,0,0,
montana,2022,MT,1,1991,1980,MT,WH,70755,2680,3.78771829605103
montana,2022,MT,1,1991,1980,MT,total,80700,3075,3.8104088306427
montana,2022,MT,1,1991,1982,MT,AI,1220,75,6.14754104614258
montana,2022,MT,1,1991,1982,MT,AS,50,0,
montana,2022,MT,1,1991,1982,MT,BL,40,5,12.5
montana,2022,MT,1,1991,1982,MT,HI,90,5,5.55555534362793
montana,2022,MT,1,1991,1982,MT,HP,0,0,
montana,2022,MT,1,1991,1982,MT,MR,0,0,
montana,2022,MT,1,1991,1982,MT,WH,8300,490,5.90361452102661
montana,2022,MT,1,1991,1982,MT,total,9700,580,5.9793815612793
montana,2022,MT,1,1991,1984,MT,AI,5750,340,5.91304349899292
montana,2022,MT,1,1991,1984,MT,AS,565,10,1.76991152763367
montana,2022,MT,1,1991,1984,MT,BL,385,10,2.59740257263184
montana,2022,MT,1,1991,1984,MT,HI,1120,55,4.9107141494751
